var,	var,	var,	var,	pt2,	pt2,	pt2,	pt2
65k,	78k,	90k,	112.6k,	65k,	78k,	90k,    112.6k
-447.6695006,	-447.6695126,	-447.6695163,	-447.669517,	-447.6728673,	-447.6728719,	-447.6728732,	-447.6728735
-447.6693276,	-447.66934,	    -447.6693438,	-447.6693446,	-447.6727055,	-447.6727106,	-447.6727121,	-447.6727124
-447.669326,	-447.6693383,	-447.6693421,	-447.6693429,	-447.6727056,	-447.67271, 	-447.6727114,	-447.6727117
-447.6693189,	-447.6693305,	-447.6693341,	-447.6693348,	-447.6727019,	-447.6727063,	-447.6727075,	-447.6727077
-447.6692025,	-447.6692108,	-447.6692143,	-447.669215,	-447.6725851,	-447.6725887,	-447.6725903,	-447.6725906
-447.6691991,	-447.66921,	    -447.6692133,	-447.669214,	-447.6725855,	-447.6725897,	-447.6725912,	-447.6725915
-447.6691955,	-447.669209,	-447.6692123,	-447.6692128,	-447.672584,	-447.6725891,	-447.6725897,	-447.6725898
-447.6691907,	-447.6692013,	-447.669205	,   -447.6692058,	-447.6725822,	-447.672586,    -447.6725868,	-447.672587
-447.6691871,	-447.6691992,	-447.669203	,   -447.6692038,	-447.6725798,	-447.6725852,	-447.6725869,	-447.6725872
-447.6691849,	-447.6691963,	-447.669199	,   -447.6691995,	-447.6725796,	-447.6725828,	-447.6725835,	-447.6725836
-447.6691174,	-447.6691241,	-447.6691276,	-447.6691284,	-447.6725054,	-447.6725083,	-447.6725105,	-447.6725107
-447.6691108,	-447.6691237,	-447.6691261,	-447.6691266,	-447.6725047,	-447.6725092,	-447.6725091,	-447.6725093
-447.6691053,	-447.6691158,	-447.6691196,	-447.6691204,	-447.6725,  	-447.6725058,	-447.672507,	-447.6725072
-447.6691031,	-447.6691141,	-447.6691174,	-447.6691181,	-447.6725016,	-447.6725051,	-447.6725062,	-447.6725063
-447.6690993,	-447.6691126,	-447.6691164,	-447.6691171,	-447.6724992,	-447.672504,	-447.6725054,	-447.6725057
-447.6690973,	-447.6691075,	-447.66911, 	-447.6691105,	-447.6724982,	-447.672501,	-447.6725016,	-447.6725017
-447.6690709,	-447.6690807,	-447.6690836,	-447.6690842,	-447.6724643,	-447.6724681,	-447.6724692,	-447.6724694
-447.6690605,	-447.6690728,	-447.6690765,	-447.6690773,	-447.6724631,	-447.6724672,	-447.6724683,	-447.6724684
-447.6690531,	-447.6690628,	-447.6690657,	-447.6690663,	-447.6724559,	-447.6724595,	-447.6724605,	-447.6724606